DISTRICT NUMBER,DISTRICT NAME,YEAR,REPORT_CHARTER_STATUS,ALL FUNDS-LOCAL TAX REVENUE FROM M&O,ALL FUNDS-STATE REVENUE,ALL FUNDS-OTHER LOCAL & INTERMEDIATE REVENUE,ALL FUNDS-LOCAL PROPERTY TAXES FROM I&S,ALL FUNDS-STATE DEBT FUNDS,ALL FUNDS-OTHER RECEIPTS,ALL FUNDS-DEBT SERVICE FINANCING RELATED REVENUE,Revenue Sum,Revenue Sum w/ Debt,2018-2019 ADA,Asian,Black or African American,Hispanic/Latino,Two or more races,White,American Indian or Alaska Nat,Native Hawaiian/Other Pacific,Total Ethnicity,All Students Count,# Economically Disadvantaged,% Economically Disadvantaged,# LEP Students,% LEP Students,# Special Education,% Special Education,Charter Dummy,Traditional Dummy,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Minority,Percent Econ. Disadvantaged,Percent LEP,Percent SPED
129906,TERRELL ISD,2019,Traditional ISD/CSD,18880335,21533528,1708831,6994761,109992,24359,0,49251806,49251806,4231.012000000001,20,1039,2346,188,1102,15,1,4711,4684,3603,76.9,1002,21.4,444,9.5,0,1,0.004245383145828911,0.22054765442581192,0.4979834430057313,0.233920611335173,0.766079388664827,0.7692143467122118,0.21391972672929122,0.09479077711357814
129910,SCURRY-ROSSER ISD,2019,Traditional ISD/CSD,2210519,7903235,433974,326943,289502,124618,0,11288791,11288791,1010.59,1,21,190,14,822,5,1,1054,1052,504,47.9,51,4.8,110,10.5,0,1,9.487666034155598e-4,0.019924098671726755,0.18026565464895636,0.7798861480075902,0.22011385199240988,0.4790874524714829,0.04847908745247148,0.10456273764258556
130801,MEADOWLAND CHARTER DISTRICT,2019,Open Enrollment Charter,0,1920897,57638,0,0,0,0,1978535,1978535,107.465,0,13,60,9,41,0,0,123,123,114,92.7,0,0,49,39.8,1,0,0,0.10569105691056911,0.4878048780487805,0.3333333333333333,0.6666666666666666,0.926829268292683,0,0.3983739837398374
130901,BOERNE ISD,2019,Traditional ISD/CSD,59879582,8417310,5793013,21359957,261714,14589,0,95726165,95726165,8689.527,117,79,2851,233,5853,28,9,9170,9133,1669,18.3,427,4.7,907,9.9,0,1,0.012758996728462377,0.00861504907306434,0.3109051254089422,0.6382769901853871,0.36172300981461286,0.18274389576261907,0.046753531150771924,0.09931019380269353
130902,COMFORT ISD,2019,Traditional ISD/CSD,8967507,1898919,666282,1665273,27762,25000,0,13250743,13250743,1026.996,3,1,620,15,457,6,0,1102,1100,647,58.8,136,12.4,143,13,0,1,0.0027223230490018148,9.074410163339383e-4,0.5626134301270418,0.4147005444646098,0.5852994555353902,0.5881818181818181,0.12363636363636364,0.13
131001,KENEDY COUNTY WIDE CSD,2019,Traditional ISD/CSD,1628091,148780,781684,305879,68,133594,0,2998096,2998096,57.232000000000006,0,4,50,2,8,0,0,64,64,39,60.9,3,4.7,13,20.3,0,1,0,0.0625,0.78125,0.125,0.875,0.609375,0.046875,0.203125
132902,JAYTON-GIRARD ISD,2019,Traditional ISD/CSD,2490975,385268,2960843,447271,0,230058,0,6514415,6514415,138.336,0,0,32,3,117,0,0,152,151,52,34.4,0,0,20,13.2,0,1,0,0,0.21052631578947367,0.7697368421052632,0.23026315789473684,0.3443708609271523,0,0.13245033112582782
133901,CENTER POINT ISD,2019,Traditional ISD/CSD,3286177,2657112,230216,128897,3456,98751,0,6404609,6404609,532.6850000000001,2,6,315,9,237,0,0,569,569,395,69.4,108,19,65,11.4,0,1,0.0035149384885764497,0.01054481546572935,0.5536028119507909,0.4165202108963093,0.5834797891036907,0.6942003514938488,0.18980667838312829,0.11423550087873462
133902,HUNT ISD,2019,Traditional ISD/CSD,1974327,300879,97499,407507,3647,24986,0,2808845,2808845,180.696,1,1,69,3,129,0,1,204,204,102,50,36,17.6,18,8.8,0,1,0.004901960784313725,0.004901960784313725,0.3382352941176471,0.6323529411764706,0.36764705882352944,0.5,0.17647058823529413,0.08823529411764706
133903,KERRVILLE ISD,2019,Traditional ISD/CSD,27497589,9065981,2211013,3786883,99313,6899,980402,42667678,43648080,4597.553,71,94,2263,79,2428,15,7,4957,4954,2782,56.2,390,7.9,459,9.3,0,1,0.01432317934234416,0.01896308250958241,0.45652612467218073,0.4898123865241073,0.5101876134758927,0.5615664109810254,0.07872426322163908,0.09265240209931369
133904,INGRAM ISD,2019,Traditional ISD/CSD,5789578,4738868,360472,1161264,38400,168610,0,12257192,12257192,1059.285,3,6,534,27,598,0,0,1168,1168,915,78.3,187,16,110,9.4,0,1,0.0025684931506849314,0.005136986301369863,0.4571917808219178,0.511986301369863,0.488013698630137,0.7833904109589042,0.1601027397260274,0.09417808219178082
133905,DIVIDE ISD,2019,Traditional ISD/CSD,332617,26664,73360,0,0,0,0,432641,432641,17.655,0,0,3,0,18,0,0,21,21,0,0,1,4.8,5,23.8,0,1,0,0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0,0.047619047619047616,0.23809523809523808
134901,JUNCTION ISD,2019,Traditional ISD/CSD,4218626,2397518,172216,0,0,297300,0,7085660,7085660,547.39,2,0,233,6,364,0,0,605,605,393,65,20,3.3,78,12.9,0,1,0.003305785123966942,0,0.3851239669421488,0.6016528925619835,0.39834710743801655,0.6495867768595042,0.03305785123966942,0.12892561983471074
135001,GUTHRIE CSD,2019,Traditional ISD/CSD,1729484,737670,274478,461438,456,170270,0,3373796,3373796,95.169,0,0,8,0,98,0,0,106,101,25,24.8,4,4,4,4,0,1,0,0,0.07547169811320754,0.9245283018867925,0.07547169811320754,0.24752475247524752,0.039603960396039604,0.039603960396039604
136901,BRACKETT ISD,2019,Traditional ISD/CSD,3196322,2883124,553965,0,0,50000,0,6683411,6683411,515.389,2,2,386,6,163,1,0,560,558,319,57.2,24,4.3,67,12,0,1,0.0035714285714285713,0.0035714285714285713,0.6892857142857143,0.2910714285714286,0.7089285714285715,0.5716845878136201,0.043010752688172046,0.12007168458781362
